pose,energy,deltae,grms,bonds,angles,ureyb,dihedrals,impropers,vdwaals,elec,hbonds,asp,user,grvdw,grelec
77,-38.44508437791935,-0.008468559811909415,1.8940650635434455,0.00017669123852748214,5.481984595379075e-05,-1.8932678260141778e-05,-2.448555208367509e-06,-3.7127543421966794e-06,-0.00020750620004861275,1.9241045521312117e-05,0.0,0.0,0.0,-2.8489714266061252,-35.59613110325537
78,-38.442996308565924,-0.002088069353426647,1.6648490042629338,-3.7997365520681115e-05,1.789334765156525e-05,2.44394347664878e-06,-6.713564895122204e-06,2.2159437236893287e-06,2.4219660222257744e-05,-1.205859004826948e-05,0.0,0.0,0.0,-0.3933807041384111,-38.04960560780212
79,-38.355314376709536,-0.08768193185638395,1.485571382718324,-8.07173543071471e-05,8.54726382248927e-06,8.198009073673296e-06,4.067740237090334e-06,-5.279706061147443e-07,6.425928328113173e-05,1.2639201845132675e-06,0.0,0.0,0.0,1.6740909395303771,-40.0294104071316
80,-38.328825070018006,-0.026489306691534154,2.2141759077716103,9.373278764313042e-05,-1.7527208882039957e-05,-1.1450892281147929e-05,3.6814851629429768e-06,1.1024801851592173e-06,-7.50422271895701e-05,1.2486100425590507e-05,0.0,0.0,0.0,4.365151424692848,-42.69398347723591
81,-38.316765619388555,-0.012059450629447355,1.6779599534094785,1.853353730196794e-05,2.4228652480307034e-05,-2.914824346153533e-06,7.936586499113218e-07,-3.859007739102915e-06,-4.0071381603112854e-05,3.92266203519398e-07,0.0,0.0,0.0,-8.264702613184319,-30.052060109105184
82,-38.29220241949506,-0.024563199893492538,1.507943149879845,3.7018016660228525e-05,-3.902446923698122e-05,2.9881713387303055e-06,-6.655251230114345e-07,6.169484507382444e-07,-3.895441708223757e-05,1.7307174113412316e-05,0.0,0.0,0.0,-5.905087671164654,-32.38709403422953
83,-38.29037122591665,-0.0018311935784147693,1.2978116926779348,-0.0001561320141538758,2.7541044106627055e-05,5.964424883111996e-06,3.917787837259823e-06,-6.285089911226005e-07,0.00014530729824890898,-2.3387758687931637e-05,0.0,0.0,0.0,0.08071238322990942,-38.3710861914198
84,-38.287907949504266,-0.002463276412381532,1.5056508147619883,-0.0001285358451259544,2.6045093460602686e-05,1.3247747840117174e-06,3.2722415737040933e-06,2.4708052001609637e-07,6.449019177878768e-05,7.482399254854499e-06,0.0,0.0,0.0,0.41478061818395995,-38.70266289362447
85,4.877065558708688,-43.16497350821295,5.3535466844263855,-7.035658380183385e-05,1.5184181934913e-05,9.517992728566571e-06,5.127506282676109e-06,5.299213719215344e-06,7.638789809050195e-05,-3.088176079124594e-05,0.0,0.0,0.0,32.54821530364755,-27.671160023387024
86,-38.25332993712557,43.13039549583426,1.6632017609735597,-0.00018571761984831348,1.4277749027513664e-06,7.103795421986581e-06,-7.822560017523017e-06,4.455780414332547e-06,0.0001458432851446645,1.149415444423596e-05,0.0,0.0,0.0,-2.8423388124745737,-35.41096790926146
87,81.84176731575175,-120.09509725287732,8.683818498761172,-4.592311810003302e-05,9.746272544131074e-06,1.912449811847239e-06,2.7378280504919417e-06,-7.075027674986051e-07,4.1229066782833e-05,-2.8510218541555332e-06,0.0,0.0,0.0,67.0902464485637,14.751514723213585
88,-38.078227831430006,119.91999514718177,1.8601770239518576,0.00036002995963158035,-2.66794256402747e-05,-1.7919480139780286e-05,5.33626042020785e-07,-2.3442041700034305e-06,-0.000291757805907622,2.0897795716123824e-05,0.0,0.0,0.0,-3.7952341176506907,-34.283036474244845
89,-38.19655607402298,0.11832824259297325,2.587831476698657,0.00016215926869689312,-4.155206345446416e-05,-1.0343454582825706e-05,4.439394296618104e-06,1.2426851622379664e-08,-0.00010171708410133817,7.341446728759138e-06,0.0,0.0,0.0,3.4986428733137274,-41.69521928727114
90,-38.1590795141088,-0.03747655991418242,2.2069648020547556,9.052637362816363e-05,2.692762933786952e-05,-5.156174696790972e-07,-9.930702313809547e-07,1.9655737902146003e-06,-9.896209836135483e-05,-5.503990509581058e-06,0.0,0.0,0.0,-5.419980980110632,-32.73911197879835
91,-38.14692552802272,-0.01215398608607643,1.794142116536403,1.958821663916588e-05,-1.937762555392908e-05,-3.9994354002481636e-06,-3.101458984744454e-06,1.5258748624780855e-06,1.671750279541584e-06,1.0028796676664342e-05,0.0,0.0,0.0,1.7421128954376721,-39.88904475957891
92,-38.142611382290994,-0.004314145731726171,1.8373183780171698,-3.218474421862183e-05,-1.9391524550105288e-05,1.6107673060788974e-06,3.2636077476055902e-06,1.1539615570061584e-06,1.7040876317153675e-05,1.55759241202702e-05,0.0,0.0,0.0,3.953186906580445,-42.095785357739715
